TABLE,PKEY,NAME,PROJECTID,SETID,PID,ADDRSLCT,ADDRESS,ALIAS,ALIASTYPE,P1,P2,P3,P4,P5,P6,P7,P8,TYPE,FORMAT,ISSCALE,SCALEOFFST,SCALEFACT,ISDEADBAND,DEADBAND,ISMODIFY,MSINPUT,MSOUTPUT,MSAUTOSUBS,MSUNIT
DESetAnalog,8366,26a12e15-bee8-4473-bd5c-4d3aafbe7000,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,AGLA",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8367,cc38793d-0f24-4ae6-b21b-07040be4438f,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,AGLA",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8368,63c0366f-553b-4249-abc3-e3573f8d2453,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,AGLB",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8369,a98091e0-d8a7-4e0f-867b-9998b2ec535b,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,AGLB",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8370,3c092e9a-7873-4a03-82df-48491b49765f,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,AGLC",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8371,e4b4e1ef-a69a-432b-a1af-e250fcad17ed,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,AGLC",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8372,d5ff296c-f1e1-406d-a39c-1e4c27bca380,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,IA",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,1,0
DESetAnalog,8373,5ee68d88-ca07-4dc6-a968-1154ab97ddc3,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,IA",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8374,189e6b5e-6557-4d38-bdff-96ae7661dcdc,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,IB",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8375,e17186a5-d513-4aab-88dc-c35a67caae85,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,IB",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,1,0
