"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS"
"DESetStatus","24534","a31adda2-f9a1-4196-aec5-f88d5d23a274","0","GW3RECC29","PCPTHO_RECC0042,25OK:S","0","0","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24535","79598889-0c2b-4118-8e50-6a7d0e819fe0","0","GW3RECC29","PCPTHO_RECC0042,79EN:S","0","1","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24536","53325a5b-cc5a-4be6-90ae-21845267176d","0","GW3RECC29","PCPTHO_RECC0042,AP1S:S","0","2","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24537","4bc8ad0a-dd8f-4165-bfe8-64e847dffbb3","0","GW3RECC29","PCPTHO_RECC0042,BALR:S","0","3","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24538","d0a2c6b0-c41c-4d23-bfad-b2b6dc07c152","0","GW3RECC29","PCPTHO_RECC0042,BATF:S","0","4","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24539","fd178a9b-4e23-41d4-910f-fb79ba0ab2ef","0","GW3RECC29","PCPTHO_RECC0042,CMER:S","0","5","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24540","5b41cdb8-0f77-4208-a51e-7e5fd2bcaebe","0","GW3RECC29","PCPTHO_RECC0042,CTLK:S","0","6","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24541","df7bc8bb-e2d1-4f17-be0c-6e0c48bc05ee","0","GW3RECC29","PCPTHO_RECC0042,DOOR:S","0","7","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24542","40608737-76ca-445c-a7a1-d981defcbc06","0","GW3RECC29","PCPTHO_RECC0042,FLTA:S","0","8","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24543","4a7930ae-2035-47a4-acba-27425be8ae2b","0","GW3RECC29","PCPTHO_RECC0042,FLTB:S","0","9","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24544","f27d2b6b-6678-43a2-9bca-91934c8cd56a","0","GW3RECC29","PCPTHO_RECC0042,FLTC:S","0","10","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24545","e0871960-1e4e-442d-ab67-e74b546a48a2","0","GW3RECC29","PCPTHO_RECC0042,FLTG:S","0","11","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24546","f1388651-e9b6-4ac8-9172-f53d6e9229fe","0","GW3RECC29","PCPTHO_RECC0042,GETR:S","0","12","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24547","4b6b2eb4-6d85-4de0-ba93-8489785d26e8","0","GW3RECC29","PCPTHO_RECC0042,GTBL:S","0","13","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24548","91e1c2f8-2952-44a6-a50f-a7d917dee177","0","GW3RECC29","PCPTHO_RECC0042,HLTG:S","0","14","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24549","7adc5ef4-c76a-43ed-b795-22a810fad7b3","0","GW3RECC29","PCPTHO_RECC0042,LBER:S","0","15","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24550","fc027d4a-a730-47f5-8041-e0f71e999290","0","GW3RECC29","PCPTHO_RECC0042,LOCK:S","0","16","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24551","48731a39-bc3a-4b84-81c7-85824e20bde6","0","GW3RECC29","PCPTHO_RECC0042,NACP:S","0","17","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24552","25673e88-aa05-47aa-b8ef-d8024ca879f9","0","GW3RECC29","PCPTHO_RECC0042,NOPS:S","0","18","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24553","2da7db30-afff-42fc-8c13-964b4899cc12","0","GW3RECC29","PCPTHO_RECC0042,PKABC:S","0","19","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24554","0d68e1dc-4d8b-45cb-aa05-74c215e96208","0","GW3RECC29","PCPTHO_RECC0042,PKPA:S","0","20","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24555","d915952e-355f-4783-bad5-c577a13234db","0","GW3RECC29","PCPTHO_RECC0042,PKPB:S","0","21","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24556","cbec3fb7-1751-442e-8f72-f17454cb94e4","0","GW3RECC29","PCPTHO_RECC0042,PKPC:S","0","22","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24557","a4bd2efd-254b-4275-90f3-63ec7aeefe55","0","GW3RECC29","PCPTHO_RECC0042,PKPN:S","0","23","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24558","def2fd35-ff10-46f4-8e0f-a6b92ad77425","0","GW3RECC29","PCPTHO_RECC0042,REC:S","0","24","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
