"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISSCALE","SCALEOFFST","SCALEFACT","ISDEADBAND","DEADBAND","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS","MSUNIT"
"DESetAnalog","18071","cf2011db-72ae-4f84-8e6c-aa090e9517dd","0","GW3RMUC11","PCPTHO_RC0111CM_K3,IA:A","0","0","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18072","7699e9fa-8931-4b0e-9f1a-3cac80601c69","0","GW3RMUC11","PCPTHO_RC0111CM_K1,IA:A","0","1","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18073","4f755e90-5737-447a-be26-727ecbdee095","0","GW3RMUC11","PCPTHO_RC0111CM_K2,IA:A","0","2","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18074","bcb88450-8c0f-45d5-ad74-e79a3e28e451","0","GW3RMUC11","PCPTHO_RC0111CM_K1,IB:A","0","3","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18075","db40ee72-b36a-45f9-bdd6-607885cb6a3c","0","GW3RMUC11","PCPTHO_RC0111CM_K2,IB:A","0","4","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18076","7e17bbf6-f263-487a-aa6b-b0e3e9227894","0","GW3RMUC11","PCPTHO_RC0111CM_K3,IB:A","0","5","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18077","b77c2510-83f5-4a51-b77c-e8c28e3d1c1a","0","GW3RMUC11","PCPTHO_RC0111CM_K2,IC:A","0","6","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18078","5efc9341-3d9d-4d74-b3c2-f840c04b82f2","0","GW3RMUC11","PCPTHO_RC0111CM_K1,IC:A","0","7","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18079","6e23afce-832e-48a3-aa5a-3a82a3830620","0","GW3RMUC11","PCPTHO_RC0111CM_K3,IC:A","0","8","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18080","c26fe56c-9412-4494-a547-10b5e1b62353","0","GW3RMUC11","PCPTHO_RC0111CM_K1,PSUM:A","0","9","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18081","22996761-aef3-4bfe-a59c-839765baac96","0","GW3RMUC11","PCPTHO_RC0111CM_K2,PSUM:A","0","10","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18082","de294eed-9700-4ffd-806c-1185e2bfe51e","0","GW3RMUC11","PCPTHO_RC0111CM_K3,PSUM:A","0","11","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18083","1c269c68-474a-4681-b6e8-a352b2eef163","0","GW3RMUC11","PCPTHO_RC0111CM_K2,QSUM:A","0","12","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18084","1fa4fa9a-bd4c-4872-b098-b1b9f7ea158c","0","GW3RMUC11","PCPTHO_RC0111CM_K1,QSUM:A","0","13","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18085","a5e4a56f-6836-4118-a00f-7c73f2d01bb7","0","GW3RMUC11","PCPTHO_RC0111CM_K3,QSUM:A","0","14","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
