"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISSBO"
"DESetControl","3993","acef282e-8e36-41e5-b8a6-5b598e68b309","0","GW3RMUC31","PCPTHO_RC0099CM_K3,FI:S","0","20061","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3994","eb93d6d8-cb72-44f4-abcd-68b998ae9568","0","GW3RMUC31","PCPTHO_RC0099CM_K1,FI:S","0","20021","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3995","35b4b764-e6bc-4c0e-869b-5bd071b1e68e","0","GW3RMUC31","PCPTHO_RC0099CM_K2,FI:S","0","20041","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3996","e09669af-a5c2-45d9-9a1e-ceeb9cd51575","0","GW3RMUC31","PCPTHO_RC0099CM_K5,FI:S","0","20101","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3997","0bf0d0a2-a824-4a4a-bdd3-7a949cc622bd","0","GW3RMUC31","PCPTHO_RC0099CM_K4,FI:S","0","20081","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3998","387bd2e4-38d7-4dd1-9589-051082856d65","0","GW3RMUC31","PCPTHO_RC0099CM_K2,LBS:S","0","20042","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3999","e15a1277-ac47-4058-9c3e-09205f270960","0","GW3RMUC31","PCPTHO_RC0099CM_K4,LBS:S","0","20082","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4000","97be8093-d89d-4ec8-a7bd-3f4f579a2bf4","0","GW3RMUC31","PCPTHO_RC0099CM_K3,LBS:S","0","20062","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4001","7aacff64-66ba-4a88-9307-119bc4389c96","0","GW3RMUC31","PCPTHO_RC0099CM_K5,LBS:S","0","20102","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4002","50c0680c-1715-4d32-875f-42429e8e5e51","0","GW3RMUC31","PCPTHO_RC0099CM_K1,LBS:S","0","20022","","0","0","0","0","0","0","0","0","0","0","0","0"
