"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS"
"DESetStatus","21575","3e1edbf8-b01a-4a91-8889-c2f2dc078d90","0","GW3RMUC31","PCPTHO_RC0099CM_K3,BALR:S","0","152","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"DESetStatus","21576","e6bf6d75-981c-41c4-a75a-7c5103065c96","0","GW3RMUC31","PCPTHO_RC0099CM_K5,BALR:S","0","252","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"DESetStatus","21577","2d60b741-3901-4e13-997d-23cea3883ab0","0","GW3RMUC31","PCPTHO_RC0099CM_K1,BALR:S","0","52","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"DESetStatus","21578","6dd1ea44-cbde-4249-ad1c-691a28c47729","0","GW3RMUC31","PCPTHO_RC0099CM_K2,BALR:S","0","102","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"DESetStatus","21579","a097dc31-a4c9-4ed3-8c04-c990c4d3d077","0","GW3RMUC31","PCPTHO_RC0099CM_K4,BALR:S","0","202","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"DESetStatus","21580","f77c4869-5da3-42a3-b737-b00d84093ad1","0","GW3RMUC31","PCPTHO_RC0099CM_K2,DC24:S","0","104","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21581","4764f1b0-ca19-4825-b6d9-9fe42e8d08a0","0","GW3RMUC31","PCPTHO_RC0099CM_K1,DC24:S","0","54","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21582","015ef1a2-563c-4720-a371-fa4d27d084a9","0","GW3RMUC31","PCPTHO_RC0099CM_K3,DC24:S","0","154","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21583","f2d95678-c52f-4a02-bd2b-70a26d1c3bbb","0","GW3RMUC31","PCPTHO_RC0099CM_K5,DC24:S","0","254","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21584","31ccfa90-64e8-45b8-8b47-1a651bb552da","0","GW3RMUC31","PCPTHO_RC0099CM_K4,DC24:S","0","204","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21585","f81545a1-18e1-41e0-8e07-7991bc9ff5c9","0","GW3RMUC31","PCPTHO_RC0099CM_COMMON,DCCB:S","0","2","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21586","cc44ac68-4fa8-462b-8050-fbd742ca02f2","0","GW3RMUC31","PCPTHO_RC0099CM_COMMON,DOOR:S","0","3","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21587","12e980c1-4905-4847-81b6-801875ddbf4e","0","GW3RMUC31","PCPTHO_RC0099CM_K5,ES:S","0","255","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","21588","79dad861-a814-4278-b589-cd3548900fdc","0","GW3RMUC31","PCPTHO_RC0099CM_K3,ES:S","0","155","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","21589","c4d3fbcc-8494-4c10-b2a8-67fc5f91d8eb","0","GW3RMUC31","PCPTHO_RC0099CM_K2,ES:S","0","105","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","21590","2678dca4-7fdb-442a-95a1-a07e80a0c5e2","0","GW3RMUC31","PCPTHO_RC0099CM_K1,ES:S","0","55","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","21591","dd31df5d-9884-4de2-a4f2-a58d520902d3","0","GW3RMUC31","PCPTHO_RC0099CM_K4,ES:S","0","205","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","21592","dc92ec9f-eb49-4b08-b4f8-df65e000aabc","0","GW3RMUC31","PCPTHO_RC0099CM_K3,FI:S","0","156","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21593","c5a7bf81-d0a5-4cbd-9a7f-e1df76f6ee8a","0","GW3RMUC31","PCPTHO_RC0099CM_K1,FI:S","0","56","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21594","30ed0af2-3417-4146-85d1-e94b6dd69690","0","GW3RMUC31","PCPTHO_RC0099CM_K2,FI:S","0","106","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21595","941bbf6b-c8d8-4e4e-9768-43a4f1dacf45","0","GW3RMUC31","PCPTHO_RC0099CM_K5,FI:S","0","256","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21596","fb878d55-ace0-46a5-80c3-80f339fd8c54","0","GW3RMUC31","PCPTHO_RC0099CM_K4,FI:S","0","206","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21597","5f50d335-ff3f-4a58-aadc-c9bebb1ebaaf","0","GW3RMUC31","PCPTHO_RC0099CM_K2,LBS:S","0","112","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","21598","ee2d9669-5c82-4fd0-ba9f-32bd214714aa","0","GW3RMUC31","PCPTHO_RC0099CM_K4,LBS:S","0","212","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","21599","48c999f5-d711-4331-bb46-f4c2c66749d0","0","GW3RMUC31","PCPTHO_RC0099CM_K3,LBS:S","0","162","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","21600","8deb38d1-44c2-4474-96d1-687bd0154055","0","GW3RMUC31","PCPTHO_RC0099CM_K5,LBS:S","0","262","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","21601","c2040edc-da20-4529-adf5-fbde4a379a21","0","GW3RMUC31","PCPTHO_RC0099CM_K1,LBS:S","0","62","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","21602","3a5b6486-509c-410f-ae88-1efb718dccea","0","GW3RMUC31","PCPTHO_RC0099CM_COMMON,NACP:S","0","1","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21603","9c06284b-240f-46c9-9110-ba9756aeafdc","0","GW3RMUC31","PCPTHO_RC0099CM_K4,PKABC:S","0","38","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21604","56cba2d2-e41c-46ad-a9cb-9d9d5a95c5a4","0","GW3RMUC31","PCPTHO_RC0099CM_K2,PKABC:S","0","39","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21605","d10a1f65-51b6-4303-b0df-a03b01681c22","0","GW3RMUC31","PCPTHO_RC0099CM_K1,PKABC:S","0","40","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21606","3be70bc3-2e46-4090-9351-2a5f5c5a3479","0","GW3RMUC31","PCPTHO_RC0099CM_K5,PKABC:S","0","41","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21607","adf9e35b-264e-4143-af4e-ad7707cb5d10","0","GW3RMUC31","PCPTHO_RC0099CM_K3,PKABC:S","0","42","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21608","467af480-131f-424f-ba74-c9a820f75814","0","GW3RMUC31","PCPTHO_RC0099CM_K1,PKPA:S","0","57","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21609","d8b77716-af89-441b-9851-c0c8063c13c1","0","GW3RMUC31","PCPTHO_RC0099CM_K3,PKPA:S","0","157","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
