TABLE,PKEY,NAME,PROJECTID,SETID,PID,Device,Point,ADDRSLCT,ADDRESS,ALIAS,ALIASTYPE,P1,P2,P3,P4,P5,P6,P7,P8,TYPE,FORMAT,ISSBO
DESetControl,2642,6f998f2f-87eb-4396-baee-b7abf94e4a5b,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,FI",UC000671,FI,0,,,0,0,0,0,0,0,0,0,0,0,0,0
DESetControl,2643,8056c7e1-87a1-413b-9cd0-23734c19f39a,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,FI",UC000673,FI,0,,,0,0,0,0,0,0,0,0,0,0,0,0
DESetControl,2644,3fa55eeb-bffc-40d3-9d78-7c3f47ad9109,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,LBS",UC000673,LBS,0,,,0,0,0,0,0,0,0,0,0,0,0,0
DESetControl,2645,1a7eb817-cb86-48c2-a799-85567a32e26b,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,LBS",UC000671,LBS,0,,,0,0,0,0,0,0,0,0,0,0,0,0
DESetControl,2646,beb00d8c-56c8-4454-82e3-8fc3f6cca773,0,GW3RMUC06,"PCPTHO_RC0007CM_K3,FI",UC000775,FI,0,,,0,0,0,0,0,0,0,0,0,0,0,0
DESetControl,2647,2c5ff762-34f2-4722-87f1-ed74454053c1,0,GW3RMUC06,"PCPTHO_RC0007CM_K1,FI",UC000771,FI,0,,,0,0,0,0,0,0,0,0,0,0,0,0
DESetControl,2648,2fbf864b-0f05-4446-b871-4b70b2e38327,0,GW3RMUC06,"PCPTHO_RC0007CM_K2,FI",UC000773,FI,0,,,0,0,0,0,0,0,0,0,0,0,0,0
DESetControl,2649,04607c7a-1b7b-4197-baee-9350e9377d23,0,GW3RMUC06,"PCPTHO_RC0007CM_K2,LBS",UC000773,LBS,0,,,0,0,0,0,0,0,0,0,0,0,0,0
DESetControl,2650,aeadb0a3-f651-408d-ab3a-04550492d316,0,GW3RMUC06,"PCPTHO_RC0007CM_K1,LBS",UC000771,LBS,0,,,0,0,0,0,0,0,0,0,0,0,0,0
DESetControl,2651,a9946d02-0031-45fa-85f4-a22f3410501b,0,GW3RMUC06,"PCPTHO_RC0007CM_K3,LBS",UC000775,LBS,0,,,0,0,0,0,0,0,0,0,0,0,0,0
