TABLE,PKEY,NAME,PROJECTID,SETID,PID,Device,Point,ADDRSLCT,ADDRESS,ALIAS,ALIASTYPE,P1,P2,P3,P4,P5,P6,P7,P8,TYPE,FORMAT,ISMODIFY,MSINPUT,MSOUTPUT,MSAUTOSUBS
DESetStatus,24402,92749317-5c2e-4b8a-9d5b-0456ffe82c59,0,GW3LBSC23,"PCPTHO_LBSC0014,25PA",LBSC0014,25PA,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24403,851df2be-18b0-49f1-8dd9-0bdcf0247504,0,GW3LBSC23,"PCPTHO_LBSC0014,25PB",LBSC0014,25PB,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24404,135816b4-af54-43ad-8a71-5cf4bdca872d,0,GW3LBSC23,"PCPTHO_LBSC0014,25PC",LBSC0014,25PC,0,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24405,f34e57e7-976d-4637-a346-4442e4e4e692,0,GW3LBSC23,"PCPTHO_LBSC0014,ANPU",LBSC0014,ANPU,0,3,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24406,5abad3be-77e3-41e3-ac6e-dd8b10623f2c,0,GW3LBSC23,"PCPTHO_LBSC0014,AP1S",LBSC0014,AP1S,0,4,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24407,bf599bfa-6468-4e79-a0ca-5f5b3fcac412,0,GW3LBSC23,"PCPTHO_LBSC0014,BALR",LBSC0014,BALR,0,5,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24408,51ce7cb0-fe63-4294-852c-80da189e9456,0,GW3LBSC23,"PCPTHO_LBSC0014,BATF",LBSC0014,BATF,0,6,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24409,660ca217-6856-4f24-a83b-988fd572243b,0,GW3LBSC23,"PCPTHO_LBSC0014,CTLK",LBSC0014,CTLK,0,7,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24410,562116c9-9712-429c-b274-79b797cf671a,0,GW3LBSC23,"PCPTHO_LBSC0014,DOOR",LBSC0014,DOOR,0,8,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24411,b683b840-d5fc-4e81-9984-7fa4372ac0e5,0,GW3LBSC23,"PCPTHO_LBSC0014,FI",LBSC0014,FI,0,9,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24412,a9e8a16b-0e83-4e27-86db-3dc75c6ee26c,0,GW3LBSC23,"PCPTHO_LBSC0014,FKPA",LBSC0014,FKPA,0,10,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24413,03fc6ed9-1cd4-417a-a6d2-b54af7e50c4b,0,GW3LBSC23,"PCPTHO_LBSC0014,FKPB",LBSC0014,FKPB,0,11,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24414,2c7d7c52-90fd-4d56-afe2-b534b78a5fa3,0,GW3LBSC23,"PCPTHO_LBSC0014,FKPC",LBSC0014,FKPC,0,12,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24415,ae5b49e0-4c7a-4c24-8f3c-ef97f37f76ec,0,GW3LBSC23,"PCPTHO_LBSC0014,FKPG",LBSC0014,FKPG,0,13,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24416,0ff9ed76-65bd-4f8e-a63d-37a40de81411,0,GW3LBSC23,"PCPTHO_LBSC0014,GETR",LBSC0014,GETR,0,14,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24417,96f74c6b-dfa0-4e50-bb53-af79d48aa16f,0,GW3LBSC23,"PCPTHO_LBSC0014,HLEN",LBSC0014,HLEN,0,15,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,24418,0c434bbe-441d-461e-8632-5320895d5936,0,GW3LBSC23,"PCPTHO_LBSC0014,LBER",LBSC0014,LBER,0,16,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
