TABLE,PKEY,NAME,PROJECTID,SETID,PID,Device,Point,ADDRSLCT,ADDRESS,ALIAS,ALIASTYPE,P1,P2,P3,P4,P5,P6,P7,P8,TYPE,FORMAT,ISMODIFY,MSINPUT,MSOUTPUT,MSAUTOSUBS
DESetStatus,13607,4ed7f027-9ecc-4eee-a370-48041b4b2cd5,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,PKABC",UC000673,PKABC,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13608,216b762e-9c7f-4986-b8a8-8682e5e277a6,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,PKABC",UC000671,PKABC,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13609,cff2de0a-1211-4e5a-ad02-8d21e4408977,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,BALR",UC000671,BALR,0,101,,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0
DESetStatus,13610,5db23dd7-85b9-47ec-8405-98e3d9000d68,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,BALR",UC000673,BALR,0,101,,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0
DESetStatus,13611,fd0a4c6e-053a-4caa-a527-944bdbd50523,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,DC24",UC000671,DC24,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13612,c6d6f36a-e246-4bee-9b90-b234b631fd92,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,DC24",UC000673,DC24,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13613,6365e3f2-ec99-440d-9e72-428dbe771da5,0,GW3RMUC06,"PCPTHO_RC0006CM_COMMON,DCCB",UC0006CM,DCCB,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13614,68b318d0-9a2a-4689-a899-22e0da9dee57,0,GW3RMUC06,"PCPTHO_RC0006CM_COMMON,DOOR",UC0006CM,DOOR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13615,2385e98a-1538-4d00-a001-e2d5886012e5,0,GW3RMUC06,"PCPTHO_RC0006CM_T1,ES",UC000631,ES,0,101,,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
DESetStatus,13616,2ee302d4-7f12-4a5a-b338-72ac0724b0a6,0,GW3RMUC06,"PCPTHO_RC0006CM_L1,ES",,ES,0,101,,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
DESetStatus,13617,56619f7b-5e1c-4856-8120-c7ce1293f76f,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,ES",UC000671,ES,0,101,,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
DESetStatus,13618,2ffc5d1f-265c-4511-9fa7-a98228eae35e,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,ES",UC000673,ES,0,101,,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
DESetStatus,13619,45d3648f-6f57-40eb-9729-8c4a7878ba92,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,FI",UC000671,FI,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13620,d1a13271-c4c6-4ce4-8f7a-489990086190,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,FI",UC000673,FI,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13621,7f4bbd99-88a6-4d69-b28f-acd4cebe3e3a,0,GW3RMUC06,"PCPTHO_RC0006CM_T1,LBS",UC000631,LBS,0,101,,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0
DESetStatus,13622,2f04219d-09f3-4e6c-85f1-f22c54593bc3,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,LBS",UC000673,LBS,0,101,,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0
DESetStatus,13623,9e5f9de7-22f0-4afc-bdc0-fe260ad45c3c,0,GW3RMUC06,"PCPTHO_RC0006CM_L1,LBS",,LBS,0,101,,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0
DESetStatus,13624,c3ca5e1a-04ef-4e2d-a332-4940b3936913,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,LBS",UC000671,LBS,0,101,,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0
DESetStatus,13625,8a05f4f9-e5ea-4794-845f-5f10e604bb79,0,GW3RMUC06,"PCPTHO_RC0006CM_COMMON,NACP",UC0006CM,NACP,0,101,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DESetStatus,13626,0d6e891a-186b-406b-8d35-9617717b30fc,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,PKPA",UC000671,PKPA,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13627,a7a66ba5-7273-41b3-b244-c9d5f9109def,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,PKPA",UC000673,PKPA,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13628,76de8575-fe0d-43f4-9804-a198f23cf956,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,PKPB",UC000673,PKPB,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13629,bf94c923-bb43-4e8a-b28a-35ca4bc94a0f,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,PKPB",UC000671,PKPB,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13630,215ec639-652a-4e3e-aae0-9361c5660274,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,PKPC",UC000673,PKPC,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13631,5dc82056-708c-4a95-a345-678494b8a0d2,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,PKPC",UC000671,PKPC,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13632,4e216aa5-ad96-40a7-99be-b5210eb3323c,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,PKPN",UC000671,PKPN,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13633,e457f0ab-7bb0-4717-b55d-dfc5f0627595,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,PKPN",UC000673,PKPN,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13634,b3cc0b4f-49e9-4fb1-af65-a742a0e71a99,0,GW3RMUC06,"PCPTHO_RC0006CM_K1,SFAL",UC000671,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13635,3dd8e648-22c8-472b-b61e-bf039ce36ae1,0,GW3RMUC06,"PCPTHO_RC0006CM_T1,SFAL",UC000631,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
