TABLE,PKEY,NAME,PROJECTID,SETID,PID,ADDRSLCT,ADDRESS,ALIAS,ALIASTYPE,P1,P2,P3,P4,P5,P6,P7,P8,TYPE,FORMAT,ISSCALE,SCALEOFFST,SCALEFACT,ISDEADBAND,DEADBAND,ISMODIFY,MSINPUT,MSOUTPUT,MSAUTOSUBS,MSUNIT
DESetAnalog,18086,4e72844b-3902-41c7-a2ef-435689be0205,0,GW3LBSC23,"PCPTHO_LBSC0014,IA",0,5002,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18087,460e430a-efc8-4009-b9c3-3ebf59e8e3ce,0,GW3LBSC23,"PCPTHO_LBSC0014,IB",0,5003,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18088,a69163c0-b113-4597-bdff-8593a8c8c644,0,GW3LBSC23,"PCPTHO_LBSC0014,IC",0,5004,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18089,b906cbeb-3a9d-4348-ae78-eca83c868945,0,GW3LBSC23,"PCPTHO_LBSC0014,PSUM",0,5006,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18090,e2f351d4-ea3c-4d5d-8101-fe603a51f19e,0,GW3LBSC23,"PCPTHO_LBSC0014,QSUM",0,5007,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18091,99c5d140-5fc6-4961-bf03-88ed624987c0,0,GW3LBSC23,"PCPTHO_LBSC0015,IA",0,5052,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18092,4bd9112f-d3f3-4d6b-858e-41a5f5c8d3fd,0,GW3LBSC23,"PCPTHO_LBSC0015,IB",0,5053,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18093,ae2efe6e-dd33-4a73-9f22-371acc1eb525,0,GW3LBSC23,"PCPTHO_LBSC0015,IC",0,5054,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18094,e9282e20-b629-4d1d-a9a9-3f00b4ffb762,0,GW3LBSC23,"PCPTHO_LBSC0015,PSUM",0,5056,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18095,bc6fe74e-2e18-49bc-976b-d7ae13fc0c55,0,GW3LBSC23,"PCPTHO_LBSC0015,QSUM",0,5057,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18096,32046e7c-135e-453b-b5d7-3421af5fc2f9,0,GW3LBSC23,"PCPTHO_LBSC0016,IA",0,5102,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18097,a51e7d0a-7f97-49d1-8a71-e108a93d9179,0,GW3LBSC23,"PCPTHO_LBSC0016,IB",0,5103,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18098,534a71f6-ac56-4c79-b6ae-8cbabdf5a7dd,0,GW3LBSC23,"PCPTHO_LBSC0016,IC",0,5104,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18099,4081c1be-b879-4191-b764-d3b6038135b4,0,GW3LBSC23,"PCPTHO_LBSC0016,PSUM",0,5106,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18100,d01819c7-8abe-4e93-8e6b-7d743dece493,0,GW3LBSC23,"PCPTHO_LBSC0016,QSUM",0,5107,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18101,44fd427a-92cb-46ba-93bb-989b6d60c260,0,GW3LBSC23,"PCPTHO_LBSC0017,IA",0,5152,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18102,adb03a23-87e0-4340-827d-c1c6a0b81d96,0,GW3LBSC23,"PCPTHO_LBSC0017,IB",0,5153,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18103,d1e89bc7-f50c-41db-ba7a-b0ab90f271e8,0,GW3LBSC23,"PCPTHO_LBSC0017,IC",0,5154,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18104,e776a6ad-0918-4231-8360-f7cb21329918,0,GW3LBSC23,"PCPTHO_LBSC0017,PSUM",0,5156,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18105,4e9add38-eacb-4b95-b8be-267a85237d05,0,GW3LBSC23,"PCPTHO_LBSC0017,QSUM",0,5157,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18106,aeed5e31-cf55-422d-b704-aafcafb6e45f,0,GW3LBSC23,"PCPTHO_LBSC0018,IA",0,5202,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18107,f840a96f-c11b-48a3-b499-ce55ce888243,0,GW3LBSC23,"PCPTHO_LBSC0018,IB",0,5203,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18108,5f1f830d-03ba-4c4e-9c76-059471c016a0,0,GW3LBSC23,"PCPTHO_LBSC0018,IC",0,5204,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18109,d8249bad-ee9f-4a56-8656-742f457f27a0,0,GW3LBSC23,"PCPTHO_LBSC0018,PSUM",0,5206,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18110,9ceb91a4-d0cd-4398-8c08-3a48d7210f90,0,GW3LBSC23,"PCPTHO_LBSC0018,QSUM",0,5207,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18111,3adb933a-186e-43af-9f5f-a86001219df4,0,GW3LBSC23,"PCPTHO_LBSC0019,IA",0,5252,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18112,03dbae49-c360-46a8-a48b-c3508fd1f725,0,GW3LBSC23,"PCPTHO_LBSC0019,IB",0,5253,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18113,bd4aa61b-31b7-4a7b-b5ed-6701ef8dc466,0,GW3LBSC23,"PCPTHO_LBSC0019,IC",0,5254,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18114,65e8fffc-9177-4ac7-bb13-40e7db095c18,0,GW3LBSC23,"PCPTHO_LBSC0019,PSUM",0,5256,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DESetAnalog,18115,b00a878b-a41c-42f9-b7a1-16fb6c24b114,0,GW3LBSC23,"PCPTHO_LBSC0019,QSUM",0,5257,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
